# Indirection Detection Limits
# Spectrum: ./Spectrum24_all.dat
#Units: DM mass = GeV, <sigma v> = cm^3 s⁻1
mDM SigmaV
21615.0 1.1501983921422615e-25
22047.0 1.170894336789787e-25
22488.0 1.1922522596432751e-25
22938.0 1.2141104847063322e-25
23397.0 1.236375263565466e-25
23865.0 1.2593684673307128e-25
24342.0 1.2828984983947437e-25
24829.0 1.3071046680453855e-25
25326.0 1.3319167323828828e-25
25832.0 1.3572532975034049e-25
26349.0 1.3833967894692087e-25
26876.0 1.410273013111796e-25
27413.0 1.437510914888512e-25
27962.0 1.4654756908361406e-25
29091.0 1.5234343317246374e-25
