# Indirection Detection Limits
# Spectrum: ./Spectrum21_all.dat
#Units: DM mass = GeV, <sigma v> = cm^3 s⁻1
mDM SigmaV
554.28 7.440969555285513e-27
565.36 7.508355583547045e-27
576.67 7.57331468208017e-27
588.2 7.635345906819884e-27
599.97 7.691810346105551e-27
624.21 7.808571591032749e-27
636.69 7.861155813555992e-27
649.42 7.917932994386735e-27
731.36 8.192789619087187e-27
791.64 8.364070964526319e-27
840.1 8.493082447009085e-27
1223.9 9.381261722388612e-27
1378.3 9.731104734341891e-27
1521.7 1.0055815520381918e-26
1818.6 1.0717414705154776e-26
2261.2 1.1677642222333501e-26
2597.4 1.237848483406105e-26
2983.6 1.315392305830882e-26
3637.0 1.4392354548355205e-26
4704.8 1.624136450094596e-26
4992.8 1.6711081680487235e-26
6458.7 1.8950639917131345e-26
6854.1 1.9509928005216175e-26
9409.2 2.292789492530109e-26
9985.1 2.3651941705383738e-26
14546.0 2.908893293604127e-26
15437.0 3.011334769434203e-26
