# Indirection Detection Limits
# Spectrum: ./Spectrum11_all.dat
#Units: DM mass = GeV, <sigma v> = cm^3 s⁻1
mDM SigmaV
554.28 5.616914980483275e-26
565.36 5.652568793859718e-26
576.67 5.688823011253781e-26
588.2 5.713937340800651e-26
599.97 5.74391970234862e-26
624.21 5.770699075184786e-26
636.69 5.783442160165834e-26
675.66 5.780388440201137e-26
689.17 5.76984444891465e-26
791.64 5.60655146621593e-26
840.1 5.513224677331926e-26
856.9 5.469247208310754e-26
1176.3 4.828769597811661e-26
1351.2 4.583437790417363e-26
1491.9 4.435350475964828e-26
1614.9 4.3342927630141777e-26
2048.0 4.123859144488065e-26
2702.3 4.0448836871324455e-26
3104.1 4.070420759971539e-26
3783.9 4.180016519565401e-26
4015.5 4.2293769037803736e-26
5194.5 4.535284010122319e-26
5512.5 4.626674197456287e-26
7567.4 5.293342987664043e-26
8030.6 5.454137472523795e-26
11699.0 6.792447524036868e-26
12415.0 7.062015469841411e-26
18087.0 9.31446042690589e-26
19194.0 9.770072720617289e-26
