# Indirection Detection Limits
# Spectrum: ./Spectrum32_all.dat
#Units: DM mass = GeV, <sigma v> = cm^3 s⁻1
mDM SigmaV
624.21 7.650836467663288e-27
636.69 7.716485177002906e-27
649.42 7.781324459346914e-27
662.41 7.840860027629766e-27
675.66 7.89990347669137e-27
689.17 7.958153570387439e-27
717.02 8.062770380805891e-27
731.36 8.115251975089566e-27
745.98 8.169370660050232e-27
856.9 8.510414361948918e-27
891.52 8.602399127608263e-27
946.09 8.741828722797452e-27
1004.0 8.887852987684491e-27
1024.1 8.935197281945387e-27
1405.8 9.831962360461988e-27
1434.0 9.897498418421488e-27
1614.9 1.0310826546275932e-26
1782.9 1.0692072103157029e-26
1968.5 1.1101581998936618e-26
2130.8 1.1458032292082599e-26
2306.4 1.1836444434979306e-26
2496.5 1.2237891244259771e-26
2702.3 1.2663731969326519e-26
3104.1 1.3462524620647622e-26
3360.0 1.3954765319922427e-26
3859.6 1.487522540484109e-26
4095.8 1.529078413395349e-26
4704.8 1.6325954008035567e-26
5735.2 1.7956590253273586e-26
6086.2 1.848225157619506e-26
6991.1 1.9788302637086764e-26
7419.1 2.0388988213514633e-26
7873.2 2.1006768827097385e-26
9597.3 2.326071899584329e-26
10185.0 2.3999619533118286e-26
12415.0 2.670715652200532e-26
13175.0 2.760538438496983e-26
13982.0 2.856196645592981e-26
17043.0 3.204639405030455e-26
18087.0 3.321892905183774e-26
19194.0 3.4467575556216535e-26
23397.0 3.909279799546264e-26
24829.0 4.0658738292817264e-26
