mDM SigmaV
103.8362642291808    1.4936366297787016e-26
145.0600813996938    2.0565885348743666e-26
222.71442755819132    3.268165747756853e-26
437.21032348936046    7.374440631736542e-26
1160.554616862852    2.8656048009244685e-25
2218.3017025727945    7.425683065087731e-25
4312.544363550247    2.003960778744798e-24
8189.398749707142    4.81915994426127e-24
13842.917811143736    8.215093631541115e-24
24886.872772319348    1.358284103997337e-23
42867.590490899944    2.0353976739584008e-23
99532.01925985678    3.219593588373281e-23
