# Indirection Detection Limits
# Spectrum: ./Spectrum33_all.dat
#Units: DM mass = GeV, <sigma v> = cm^3 s⁻1
mDM SigmaV
760.9 1.1147103336122907e-25
776.12 1.11246252818959e-25
791.64 1.1102124957926184e-25
807.48 1.1087659335061412e-25
823.63 1.1060689464557228e-25
840.1 1.1029768675659235e-25
856.9 1.0978633925175162e-25
874.04 1.092508094473536e-25
891.52 1.0883639503533323e-25
909.35 1.0835865544285367e-25
927.54 1.0779304122744322e-25
946.09 1.0707110307902619e-25
1044.6 1.0395528828883817e-25
1065.4 1.0342228979143185e-25
1108.5 1.0198537495457441e-25
1153.3 1.0060084948319512e-25
1223.9 9.865325861064675e-26
1324.8 9.625044673926657e-26
1351.2 9.561888594262781e-26
1378.3 9.501347824053345e-26
1748.0 8.96576856720739e-26
1782.9 8.933668906606643e-26
1818.6 8.903546029727725e-26
2089.0 8.741313019316083e-26
2306.4 8.677246489191184e-26
2352.6 8.67300158033585e-26
2546.5 8.669468585130915e-26
2597.4 8.66880684279512e-26
2811.5 8.697890640503029e-26
3043.3 8.757940258226536e-26
3104.1 8.779735521245304e-26
3360.0 8.876824378918738e-26
3637.0 9.002878861992135e-26
3936.8 9.161706113163029e-26
4522.1 9.517092364270281e-26
4894.9 9.748752595874578e-26
5622.7 1.026832634426128e-25
6086.2 1.0612202660425625e-25
6458.7 1.089436193314121e-25
6991.1 1.1312948859995953e-25
7419.1 1.165594636215189e-25
8030.6 1.2151110908264173e-25
8522.2 1.255695019794381e-25
9224.7 1.3150091738750061e-25
9789.3 1.3634891613744555e-25
10596.0 1.433193718972394e-25
11245.0 1.4905983703350963e-25
12172.0 1.5724382898831168e-25
12917.0 1.6395678479404614e-25
14837.0 1.8146910749025857e-25
15745.0 1.9010099365647735e-25
17043.0 2.0243714680889475e-25
18087.0 2.123861866410716e-25
20776.0 2.3873241474706318e-25
22047.0 2.5178434613680107e-25
25326.0 2.8565199742859814e-25
26876.0 3.017174726343095e-25
