# Indirection Detection Limits
# Spectrum: ./Spectrum24_all.dat
#Units: DM mass = GeV, <sigma v> = cm^3 s⁻1
mDM SigmaV
21615.0 2.5580641895437944e-25
22047.0 2.6071491731590542e-25
22488.0 2.654072660782569e-25
22938.0 2.702186819913739e-25
23397.0 2.752230974580548e-25
23865.0 2.802823568706717e-25
24342.0 2.8576650926665105e-25
24829.0 2.9138438782392875e-25
25326.0 2.9686673993780594e-25
25832.0 3.023932903576316e-25
26349.0 3.081400349319511e-25
26876.0 3.14387737469115e-25
27413.0 3.205203889287216e-25
27962.0 3.267023946478063e-25
29091.0 3.395630320167257e-25
