# Indirection Detection Limits
# Spectrum: ./Spectrum33_all.dat
#Units: DM mass = GeV, <sigma v> = cm^3 s⁻1
mDM SigmaV
760.9 5.164796446997861e-26
776.12 5.15480698632487e-26
791.64 5.1442150954156e-26
807.48 5.1315806824399046e-26
823.63 5.112901308864326e-26
840.1 5.095234512257971e-26
856.9 5.072694608023305e-26
874.04 5.044913891199818e-26
891.52 5.019748220676478e-26
909.35 4.995768063906927e-26
927.54 4.9685327542545457e-26
946.09 4.933782202603458e-26
1044.6 4.7749599958884335e-26
1065.4 4.745612199214019e-26
1108.5 4.6782113083546067e-26
1153.3 4.613177486413186e-26
1223.9 4.518532323571355e-26
1324.8 4.400077968636067e-26
1351.2 4.371155058558749e-26
1378.3 4.343695945935707e-26
1748.0 4.086246732902407e-26
1782.9 4.070641980350738e-26
1818.6 4.0562484168549364e-26
2089.0 3.97807407842787e-26
2306.4 3.9468507413017427e-26
2352.6 3.9435377586034614e-26
2546.5 3.937910553218308e-26
2597.4 3.939230341796401e-26
2811.5 3.9523150431580845e-26
3043.3 3.975977623128595e-26
3104.1 3.984368855723147e-26
3360.0 4.02829168132938e-26
3637.0 4.0858038868053417e-26
3936.8 4.1544226689348593e-26
4522.1 4.3107931910175927e-26
4894.9 4.4196627274627335e-26
5622.7 4.6471230908738216e-26
6086.2 4.804531164167052e-26
6458.7 4.929301655944028e-26
6991.1 5.113955910463676e-26
7419.1 5.267303409315082e-26
8030.6 5.492155881902242e-26
8522.2 5.673015485698639e-26
9224.7 5.933211306725837e-26
9789.3 6.151055025543991e-26
10596.0 6.464135977369335e-26
11245.0 6.719168044872432e-26
12172.0 7.086525874554295e-26
12917.0 7.386792126448473e-26
14837.0 8.177427497358503e-26
15745.0 8.560661796559867e-26
17043.0 9.112502039344724e-26
18087.0 9.558338958935309e-26
20776.0 1.0736522836129164e-25
22047.0 1.1308139127891122e-25
25326.0 1.2814715197095386e-25
26876.0 1.3542973244556387e-25
