# Indirection Detection Limits
# Spectrum: ./Spectrum21_all.dat
#Units: DM mass = GeV, <sigma v> = cm^3 s⁻1
mDM SigmaV
554.28 1.1923496680900977e-25
565.36 1.2016815966641532e-25
576.67 1.2113974979960136e-25
588.2 1.2195490196592105e-25
599.97 1.2240158762033216e-25
624.21 1.2368255380477735e-25
636.69 1.2402881963343256e-25
649.42 1.2440832604772635e-25
731.36 1.2334132543203375e-25
791.64 1.2137724537249018e-25
840.1 1.1957683211977982e-25
1223.9 1.0399931541477405e-25
1378.3 9.975152545400145e-26
1521.7 9.6810261212191e-26
1818.6 9.256304581513889e-26
2261.2 8.970015397835822e-26
2597.4 8.912354643300017e-26
2983.6 8.944533241002611e-26
3637.0 9.151845092760241e-26
4704.8 9.716688461963849e-26
4992.8 9.893926943628673e-26
6458.7 1.0885169035573467e-25
6854.1 1.1175583023625136e-25
9409.2 1.3164786277699177e-25
9985.1 1.3630892342272571e-25
14546.0 1.7509552065721275e-25
15437.0 1.830694861676906e-25
