# Indirection Detection Limits
# Spectrum: ./Spectrum12_all.dat
#Units: DM mass = GeV, <sigma v> = cm^3 s⁻1
mDM SigmaV
554.28 7.425721102890963e-27
565.36 7.486958203243906e-27
576.67 7.548882582773982e-27
588.2 7.611891158871739e-27
599.97 7.663346698061643e-27
611.97 7.726262643793816e-27
662.41 7.930712367572397e-27
731.36 8.158574218965837e-27
791.64 8.328410575267367e-27
840.1 8.457370388222139e-27
946.09 8.716802355899238e-27
965.01 8.760821913771212e-27
984.31 8.805264744617795e-27
1004.0 8.850509705436702e-27
1024.1 8.897092809423542e-27
1044.6 8.944618915898431e-27
1065.4 8.993400801886065e-27
1086.8 9.043992552763026e-27
1273.3 9.470365621431963e-27
1434.0 9.835868144808494e-27
1583.2 1.017414463704399e-26
1713.7 1.0467681121687898e-26
1855.0 1.0781025030105719e-26
2007.9 1.111899915097952e-26
2173.4 1.1477044519186218e-26
2496.5 1.2157768090926393e-26
2867.7 1.2915552373195785e-26
3294.1 1.374447160083357e-26
3495.8 1.4124807940604204e-26
4261.3 1.5492059997870755e-26
5512.5 1.752575759549488e-26
5849.9 1.8044316588161846e-26
7567.4 2.050761154672053e-26
8030.6 2.112995513298612e-26
8522.2 2.1783378569953254e-26
11699.0 2.5763318509489276e-26
12415.0 2.6619746412772694e-26
17043.0 3.196081502491598e-26
18087.0 3.3144691782698104e-26
19194.0 3.4393923896388494e-26
