# Indirection Detection Limits
# Spectrum: ./Spectrum34_all.dat
#Units: DM mass = GeV, <sigma v> = cm^3 s⁻1
mDM SigmaV
9043.8 2.2653081891720718e-26
9224.7 2.2895331296755245e-26
9409.2 2.3141319943061243e-26
9597.3 2.3390957934260742e-26
9789.3 2.364004381712668e-26
9985.1 2.3897664576381777e-26
10185.0 2.4156101976116663e-26
10388.0 2.4414096190402028e-26
10596.0 2.468422922369441e-26
10808.0 2.4958550142892503e-26
11024.0 2.5237076379030412e-26
11245.0 2.5518442626461427e-26
11470.0 2.5806416766462698e-26
11933.0 2.637530133946149e-26
12172.0 2.667710680008243e-26
14837.0 2.9951932958886253e-26
16709.0 3.221458025553646e-26
17384.0 3.3018912617541445e-26
18087.0 3.384807631875515e-26
18817.0 3.47193414568115e-26
23865.0 4.057984857023607e-26
26349.0 4.3431493462603925e-26
29673.0 4.722012912868853e-26
