# Indirection Detection Limits
# Spectrum: ./Spectrum31_all.dat
#Units: DM mass = GeV, <sigma v> = cm^3 s⁻1
mDM SigmaV
624.21 5.527495418486483e-26
636.69 5.572931748467319e-26
649.42 5.603793224348562e-26
662.41 5.636851448536411e-26
675.66 5.66679268217489e-26
689.17 5.675272174799636e-26
702.96 5.692516178613788e-26
717.02 5.691039249331315e-26
731.36 5.694989944539939e-26
760.9 5.683563094553e-26
776.12 5.665402982777179e-26
791.64 5.649398713387778e-26
807.48 5.635003186642929e-26
856.9 5.55581992240825e-26
891.52 5.495086469276401e-26
946.09 5.384185164949394e-26
1065.4 5.143893150687512e-26
1086.8 5.1017483663480327e-26
1108.5 5.0609366958158746e-26
1130.7 5.020991083563358e-26
1153.3 4.9791378988020604e-26
1176.3 4.939611323154408e-26
1199.9 4.9000817051443853e-26
1223.9 4.8626597942631784e-26
1248.3 4.8262994264609625e-26
1273.3 4.7901321329850354e-26
1491.9 4.5239611641520106e-26
1680.1 4.3642535251341405e-26
2007.9 4.19438633064907e-26
2173.4 4.143265269436144e-26
2352.6 4.1084222852124547e-26
2546.5 4.089591838465469e-26
2925.1 4.088093531135151e-26
3360.0 4.1334859936466375e-26
3859.6 4.2190890724446997e-26
4095.8 4.270641579732571e-26
4704.8 4.416557462979409e-26
4992.8 4.4952648135789975e-26
6086.2 4.819535681606013e-26
6458.7 4.9409227717253724e-26
7873.2 5.410476296356345e-26
8355.1 5.579342112881941e-26
10808.0 6.465755850381931e-26
11470.0 6.715380924506432e-26
14837.0 8.014736861811323e-26
15745.0 8.374409840116847e-26
20368.0 1.0274159627102607e-25
21615.0 1.0801642839768113e-25
22938.0 1.1369621187638554e-25
