# Indirection Detection Limits
# Spectrum: ./Spectrum41_all.dat
#Units: DM mass = GeV, <sigma v> = cm^3 s⁻1
mDM SigmaV
1024.1 8.88555695561569e-27
1044.6 8.946027445404955e-27
1065.4 9.006212625656324e-27
1086.8 9.068266660359038e-27
1130.7 9.193870057980842e-27
1176.3 9.317235099784251e-27
1199.9 9.378779558651919e-27
1248.3 9.503610715205318e-27
1405.8 9.897203041915272e-27
1583.2 1.0325850336057202e-26
1713.7 1.0629475935685775e-26
2546.5 1.2467766804787194e-26
2925.1 1.3243628045814633e-26
3229.5 1.3840922874877643e-26
3565.7 1.4478691919267457e-26
3936.8 1.5151113820785113e-26
4261.3 1.571922479564202e-26
4612.6 1.631227242350073e-26
4992.8 1.6931773135537165e-26
5404.4 1.7586514693022258e-26
5849.9 1.8267959141077715e-26
6719.7 1.9553163795466154e-26
7273.6 2.032787293991043e-26
8355.1 2.179012991513278e-26
9043.8 2.2688895547538514e-26
10388.0 2.438045150398533e-26
11933.0 2.625511924078388e-26
13707.0 2.83490461898123e-26
15745.0 3.069300046795975e-26
18087.0 3.3322085339217483e-26
27413.0 4.3525165237832486e-26
