# Indirection Detection Limits
# Spectrum: ./Spectrum34_all.dat
#Units: DM mass = GeV, <sigma v> = cm^3 s⁻1
mDM SigmaV
9043.8 5.902035230085953e-26
9224.7 5.97415361367825e-26
9409.2 6.049054985173635e-26
9597.3 6.125537919286833e-26
9789.3 6.203194649535258e-26
9985.1 6.282176522214723e-26
10185.0 6.362730604062495e-26
10388.0 6.446025041703728e-26
10596.0 6.532160510029825e-26
10808.0 6.618844470613033e-26
11024.0 6.707787822667435e-26
11245.0 6.797930197739793e-26
11470.0 6.891733536253434e-26
11933.0 7.084846302860349e-26
12172.0 7.185356915000482e-26
14837.0 8.339173752003358e-26
16709.0 9.163156480663341e-26
17384.0 9.464649536728378e-26
18087.0 9.785131577957291e-26
18817.0 1.0118768932910447e-25
23865.0 1.2506822970481024e-25
26349.0 1.3724886060264864e-25
29673.0 1.5408332529577148e-25
