# Indirection Detection Limits
# Spectrum: ./Spectrum43_all.dat
#Units: DM mass = GeV, <sigma v> = cm^3 s⁻1
mDM SigmaV
1248.3 9.396964016416318e-27
1273.3 9.461599224034015e-27
1298.8 9.526361713552161e-27
1324.8 9.5920854785698e-27
1351.2 9.656726564517889e-27
1405.8 9.790924032629243e-27
1491.9 1.0003356683995831e-26
1521.7 1.0077059121295701e-26
1552.2 1.0150222364257538e-26
1748.0 1.0615198591882077e-26
1855.0 1.0865373544921645e-26
1929.9 1.1037575391052675e-26
2048.0 1.1306043820550439e-26
2216.9 1.168495266866607e-26
2261.2 1.1783158244893918e-26
3637.0 1.4565263402882465e-26
3709.7 1.4700434906749477e-26
4177.8 1.5539323048792958e-26
4704.8 1.643891881180534e-26
5298.4 1.7403130068444115e-26
5849.9 1.8263631213005694e-26
6332.1 1.8983147841875193e-26
6991.1 1.9937622232620992e-26
7718.8 2.0954987249098094e-26
8355.1 2.1817209839042994e-26
9985.1 2.3944169644113406e-26
10808.0 2.4962811693368466e-26
11699.0 2.6066812807763814e-26
12663.0 2.7242769474958927e-26
25832.0 4.2308330942394705e-26
27962.0 4.4659697181043765e-26
