# Indirection Detection Limits
# Spectrum: ./Spectrum22_all.dat
#Units: DM mass = GeV, <sigma v> = cm^3 s⁻1
mDM SigmaV
565.36 5.567276304825749e-26
576.67 5.606834659454613e-26
588.2 5.63121668953895e-26
599.97 5.649233717005204e-26
611.97 5.67230958394078e-26
624.21 5.686364782360555e-26
689.17 5.704259746645621e-26
702.96 5.69007866890943e-26
717.02 5.678291477346566e-26
760.9 5.611002801643594e-26
791.64 5.557921564379061e-26
840.1 5.461369892658083e-26
927.54 5.276869268846466e-26
946.09 5.23353827398503e-26
1108.5 4.913845361224306e-26
1130.7 4.8773800170275667e-26
1324.8 4.588597668866231e-26
1462.6 4.438235591407829e-26
1614.9 4.3125468719485095e-26
2216.9 4.0684928897617634e-26
2399.6 4.0436408028847177e-26
2756.4 4.034097127247459e-26
3166.2 4.066427194554758e-26
3360.0 4.0932471253901284e-26
3859.6 4.189166869163552e-26
4095.8 4.2399344126186e-26
4992.8 4.475491528867174e-26
5298.4 4.5616188121383974e-26
6458.7 4.9296699848600376e-26
6854.1 5.05555235621257e-26
7273.6 5.196062050116687e-26
9409.2 5.949769898267485e-26
9985.1 6.159295968606539e-26
13707.0 7.577513396844193e-26
14546.0 7.906643797568784e-26
15437.0 8.263375424339538e-26
