# Indirection Detection Limits
# Spectrum: ./Spectrum22_all.dat
#Units: DM mass = GeV, <sigma v> = cm^3 s⁻1
mDM SigmaV
565.36 1.1882858181276307e-25
576.67 1.1989609553678764e-25
588.2 1.2056334884554557e-25
599.97 1.209809856611715e-25
611.97 1.2157792302564627e-25
624.21 1.2211501809183176e-25
689.17 1.229705686308948e-25
702.96 1.2270043806213247e-25
717.02 1.2239740567698883e-25
760.9 1.2119341740154231e-25
791.64 1.200939738517323e-25
840.1 1.182396508007048e-25
927.54 1.1447504242616366e-25
946.09 1.1363348628819178e-25
1108.5 1.070616643515758e-25
1130.7 1.0624923844438498e-25
1324.8 1.0037179314679591e-25
1462.6 9.719182204064543e-26
1614.9 9.461910086055376e-26
2216.9 8.94143153763453e-26
2399.6 8.889944225763732e-26
2756.4 8.879438623381907e-26
3166.2 8.95634258134833e-26
3360.0 9.020342096211168e-26
3859.6 9.230456682656745e-26
4095.8 9.349314920608643e-26
4992.8 9.884696460907906e-26
5298.4 1.0077890280895841e-25
6458.7 1.0885512586158468e-25
6854.1 1.1178363645446492e-25
7273.6 1.149615223536896e-25
9409.2 1.3182124003614518e-25
9985.1 1.3651435177458132e-25
13707.0 1.6808586387029276e-25
14546.0 1.7545872616685243e-25
15437.0 1.8358145987522423e-25
