# Indirection Detection Limits
# Spectrum: ./Spectrum41_all.dat
#Units: DM mass = GeV, <sigma v> = cm^3 s⁻1
mDM SigmaV
1024.1 5.11750212491038e-26
1044.6 5.1021192899481585e-26
1065.4 5.083576460902524e-26
1086.8 5.0629378132182615e-26
1130.7 5.0156399287969005e-26
1176.3 4.960729680532876e-26
1199.9 4.932710217731618e-26
1248.3 4.872644114140589e-26
1405.8 4.691790484551128e-26
1583.2 4.5236038580786843e-26
1713.7 4.426848099280994e-26
2546.5 4.1488327409920596e-26
2925.1 4.142306265377475e-26
3229.5 4.162807451938831e-26
3565.7 4.2076239728199134e-26
3936.8 4.2729055035366563e-26
4261.3 4.3423670565657915e-26
4612.6 4.4258786772765557e-26
4992.8 4.521732965067806e-26
5404.4 4.6395545139789203e-26
5849.9 4.773491522967316e-26
6719.7 5.0478067227280023e-26
7273.6 5.231969616357305e-26
8355.1 5.598267748607652e-26
9043.8 5.843770063625556e-26
10388.0 6.329516512280248e-26
11933.0 6.90900974540049e-26
13707.0 7.589989770488891e-26
15745.0 8.395886157467813e-26
18087.0 9.34747580859398e-26
27413.0 1.3371581654602317e-25
