# Indirection Detection Limits
# Spectrum: ./Spectrum31_all.dat
#Units: DM mass = GeV, <sigma v> = cm^3 s⁻1
mDM SigmaV
624.21 7.670710707355034e-27
636.69 7.738561699597508e-27
649.42 7.801249303813392e-27
662.41 7.864709850712184e-27
675.66 7.925689662705135e-27
689.17 7.978982464379026e-27
702.96 8.037750280081486e-27
717.02 8.089674563936287e-27
731.36 8.144672647084663e-27
760.9 8.247688211101903e-27
776.12 8.295192810366584e-27
791.64 8.343649535180495e-27
807.48 8.393447158496471e-27
856.9 8.536120829028531e-27
891.52 8.628476463542713e-27
946.09 8.767848205768342e-27
1065.4 9.056773998792384e-27
1086.8 9.107732419260284e-27
1108.5 9.159470663513177e-27
1130.7 9.211699965250163e-27
1153.3 9.264927035346244e-27
1176.3 9.318553658174616e-27
1199.9 9.372070704568602e-27
1223.9 9.427748345401233e-27
1248.3 9.484964891464291e-27
1273.3 9.54383501334881e-27
1491.9 1.004492591323989e-26
1680.1 1.0469491092971131e-26
2007.9 1.119594516169416e-26
2173.4 1.1556541491428949e-26
2352.6 1.1939869873183626e-26
2546.5 1.2345696307545933e-26
2925.1 1.311254212709954e-26
3360.0 1.395504994279283e-26
3859.6 1.4874395044139813e-26
4095.8 1.5288726037059344e-26
4704.8 1.6322122515161996e-26
4992.8 1.678807808675985e-26
6086.2 1.8478100904099825e-26
6458.7 1.9025694622602172e-26
7873.2 2.0999624514011246e-26
8355.1 2.164419958031036e-26
10808.0 2.4754541827343942e-26
11470.0 2.555159296408326e-26
14837.0 2.950495018897183e-26
15745.0 3.0548214048883955e-26
20368.0 3.5712924696737136e-26
21615.0 3.708658936183287e-26
22938.0 3.852237700729875e-26
