# Indirection Detection Limits
# Spectrum: ./Spectrum12_all.dat
#Units: DM mass = GeV, <sigma v> = cm^3 s⁻1
mDM SigmaV
554.28 5.565742939525226e-26
565.36 5.595183317933354e-26
576.67 5.6256992329268e-26
588.2 5.659444371248402e-26
599.97 5.668436634928932e-26
611.97 5.701490839527936e-26
662.41 5.717980438989e-26
731.36 5.654364268043964e-26
791.64 5.54607464377746e-26
840.1 5.450089393969461e-26
946.09 5.223971714513359e-26
965.01 5.182357394586806e-26
984.31 5.1416003094084707e-26
1004.0 5.1015458639111897e-26
1024.1 5.059788533638494e-26
1044.6 5.0196247707387584e-26
1065.4 4.981433532460672e-26
1086.8 4.9426627770058117e-26
1273.3 4.646337457395077e-26
1434.0 4.4587955225543915e-26
1583.2 4.3280749061528406e-26
1713.7 4.241757199292153e-26
1855.0 4.1688045790881214e-26
2007.9 4.112754358880172e-26
2173.4 4.071819438541025e-26
2496.5 4.031329505515908e-26
2867.7 4.036258133306447e-26
3294.1 4.0805186766300564e-26
3495.8 4.1136050281220406e-26
4261.3 4.2772520055578575e-26
5512.5 4.623638698466703e-26
5849.9 4.7287963549640443e-26
7567.4 5.296060225993188e-26
8030.6 5.458121367212328e-26
8522.2 5.633059427269662e-26
11699.0 6.804549033321632e-26
12415.0 7.074436162695697e-26
17043.0 8.914769857439319e-26
18087.0 9.344203434992591e-26
19194.0 9.803053157612784e-26
