# Indirection Detection Limits
# Spectrum: ./Spectrum32_all.dat
#Units: DM mass = GeV, <sigma v> = cm^3 s⁻1
mDM SigmaV
624.21 1.1764199480559673e-25
636.69 1.1877400573965602e-25
649.42 1.1958601839367437e-25
662.41 1.2011704214111655e-25
675.66 1.20773015765296e-25
689.17 1.2140098166998055e-25
717.02 1.2141156236575558e-25
731.36 1.2140467251418489e-25
745.98 1.2158596528619888e-25
856.9 1.1908572441987086e-25
891.52 1.1792228509467948e-25
946.09 1.1565274541452448e-25
1004.0 1.135402547348837e-25
1024.1 1.1255228773865666e-25
1405.8 1.0024795894472519e-25
1434.0 9.960118484806144e-26
1614.9 9.61044981486668e-26
1782.9 9.373519931187438e-26
1968.5 9.182859765477693e-26
2130.8 9.079301915874947e-26
2306.4 9.001032206987814e-26
2496.5 8.95774859550107e-26
2702.3 8.948872380949494e-26
3104.1 9.0054035001804e-26
3360.0 9.074189527126131e-26
3859.6 9.27912422587715e-26
4095.8 9.390316333413794e-26
4704.8 9.738407825010128e-26
5735.2 1.0398272199957004e-25
6086.2 1.06499961301242e-25
6991.1 1.1302300887607898e-25
7419.1 1.1627598126967338e-25
7873.2 1.1978172512754276e-25
9597.3 1.3352589391337706e-25
10185.0 1.3833562789954084e-25
12415.0 1.5714570820331075e-25
13175.0 1.6375326166417539e-25
13982.0 1.706653026972248e-25
17043.0 1.982650319800464e-25
18087.0 2.0791072699901597e-25
19194.0 2.1807829649221462e-25
23397.0 2.583970788119786e-25
24829.0 2.7230428102355506e-25
