# Indirection Detection Limits
# Spectrum: ./Spectrum43_all.dat
#Units: DM mass = GeV, <sigma v> = cm^3 s⁻1
mDM SigmaV
1248.3 1.0130408843963985e-25
1273.3 1.0073407868474278e-25
1298.8 1.0014441945887447e-25
1324.8 9.950699022558847e-26
1351.2 9.884654395216104e-26
1405.8 9.76637144720696e-26
1491.9 9.602396764496658e-26
1521.7 9.553270464657374e-26
1552.2 9.501997438864902e-26
1748.0 9.22705891178069e-26
1855.0 9.110707615871611e-26
1929.9 9.046589449563014e-26
2048.0 8.965284222172224e-26
2216.9 8.886463683208533e-26
2261.2 8.870865267997285e-26
3637.0 9.106592921665289e-26
3709.7 9.142316852796367e-26
4177.8 9.383308105301528e-26
4704.8 9.707170688605616e-26
5298.4 1.0087509644755377e-25
5849.9 1.0485881614926181e-25
6332.1 1.083760279108779e-25
6991.1 1.134303390553756e-25
7718.8 1.1919196377123135e-25
8355.1 1.2444013410229873e-25
9985.1 1.380175864345197e-25
10808.0 1.451106514958633e-25
11699.0 1.5286623159053468e-25
12663.0 1.6145207738583168e-25
25832.0 2.895149916272042e-25
27962.0 3.1179203472237107e-25
