# Indirection Detection Limits
# Spectrum: ./Spectrum21_all.dat
#Units: DM mass = GeV, <sigma v> = cm^3 s⁻1
mDM SigmaV
554.28 5.590891427777097e-26
565.36 5.629565705713186e-26
576.67 5.664793605747506e-26
588.2 5.695955338559003e-26
599.97 5.715232433585386e-26
624.21 5.759060376727203e-26
636.69 5.767480803358089e-26
649.42 5.783916496122265e-26
731.36 5.720141152945321e-26
791.64 5.617814083242678e-26
840.1 5.523845854586944e-26
1223.9 4.7668117699208865e-26
1378.3 4.5609626800599564e-26
1521.7 4.41671883893884e-26
1818.6 4.219598360880286e-26
2261.2 4.0814757027681686e-26
2597.4 4.049172833925463e-26
2983.6 4.062710851004994e-26
3637.0 4.1531013294843165e-26
4704.8 4.400650141306174e-26
4992.8 4.480119761277129e-26
6458.7 4.9298927847962424e-26
6854.1 5.056105707698401e-26
9409.2 5.944316831491477e-26
9985.1 6.152525100978365e-26
14546.0 7.889526949018169e-26
15437.0 8.240887068060948e-26
