# Indirection Detection Limits
# Spectrum: ./Spectrum23_all.dat
#Units: DM mass = GeV, <sigma v> = cm^3 s⁻1
mDM SigmaV
675.66 7.667714720301671e-27
689.17 7.710696988657455e-27
702.96 7.757372622207875e-27
717.02 7.804411483581653e-27
731.36 7.853490809830944e-27
745.98 7.900182560711554e-27
760.9 7.946553215571666e-27
776.12 7.995956048560792e-27
823.63 8.140838072223782e-27
856.9 8.240709525779285e-27
874.04 8.288470658224099e-27
891.52 8.336261837625766e-27
909.35 8.385675520008476e-27
946.09 8.481797082899848e-27
965.01 8.53560354765582e-27
1004.0 8.637532220725046e-27
1065.4 8.795229466688078e-27
1153.3 9.02113638414736e-27
1176.3 9.07746535418772e-27
1199.9 9.134721021377877e-27
1521.7 9.92376076037291e-27
1552.2 9.996782520635665e-27
1583.2 1.0071195808016825e-26
1782.9 1.0541053775358362e-26
1818.6 1.0624030431651011e-26
2007.9 1.1057119391717547e-26
2216.9 1.152107251871858e-26
2399.6 1.1918368754720688e-26
2649.4 1.2449412897974014e-26
2867.7 1.2898692001898107e-26
3104.1 1.3371737881591534e-26
3565.7 1.4256784890781118e-26
3859.6 1.4800656464661066e-26
4095.8 1.5223559946151436e-26
4433.5 1.5811314270436703e-26
4704.8 1.6266809672761045e-26
5092.7 1.6904840989775127e-26
5404.4 1.74046599314626e-26
6207.9 1.8630869241105134e-26
7131.0 1.997731094374115e-26
7567.4 2.0583033226330616e-26
8692.6 2.2110427472353838e-26
9224.7 2.2809448719842732e-26
10596.0 2.4564979222711098e-26
11245.0 2.5375769368958298e-26
11933.0 2.623633009940923e-26
13707.0 2.8377785987007764e-26
14546.0 2.9373664552031353e-26
16709.0 3.193046483920687e-26
17732.0 3.311482905839263e-26
18817.0 3.436853885971671e-26
21615.0 3.7566733631993283e-26
22938.0 3.906331613140771e-26
24342.0 4.060810607374255e-26
27962.0 4.465995285127553e-26
29673.0 4.6544212272842376e-26
