# Indirection Detection Limits
# Spectrum: ./Spectrum43_all.dat
#Units: DM mass = GeV, <sigma v> = cm^3 s⁻1
mDM SigmaV
1248.3 4.6438550175440686e-26
1273.3 4.614054374304512e-26
1298.8 4.5815994856364425e-26
1324.8 4.5519388367876023e-26
1351.2 4.5219375827997977e-26
1405.8 4.466317683626939e-26
1491.9 4.38681748628889e-26
1521.7 4.360987864232118e-26
1552.2 4.3357392246586753e-26
1748.0 4.2072312536662317e-26
1855.0 4.154852119233017e-26
1929.9 4.1243237446664864e-26
2048.0 4.085721278930764e-26
2216.9 4.046435638668159e-26
2261.2 4.038786242520576e-26
3637.0 4.1333180270785834e-26
3709.7 4.148641830505353e-26
4177.8 4.258105195627327e-26
4704.8 4.395911880185962e-26
5298.4 4.5723876971415175e-26
5849.9 4.744543825699585e-26
6332.1 4.9072908859091583e-26
6991.1 5.1297627234236775e-26
7718.8 5.387154916321902e-26
8355.1 5.619528142760743e-26
9985.1 6.226511453429473e-26
10808.0 6.54533795107828e-26
11699.0 6.896433642549205e-26
12663.0 7.274841315170398e-26
25832.0 1.2997849906376167e-25
27962.0 1.3995981676374866e-25
