# Indirection Detection Limits
# Spectrum: ./Spectrum41_all.dat
#Units: DM mass = GeV, <sigma v> = cm^3 s⁻1
mDM SigmaV
1024.1 1.1092203918581798e-25
1044.6 1.1068205275041961e-25
1065.4 1.10432176930412e-25
1086.8 1.1003810157081786e-25
1130.7 1.0894782547307367e-25
1176.3 1.0804208256971464e-25
1199.9 1.0744221791548467e-25
1248.3 1.0617858699329953e-25
1405.8 1.0251332604079879e-25
1583.2 9.908389527166021e-26
1713.7 9.691612335383984e-26
2546.5 9.112531967606115e-26
2925.1 9.108189064286175e-26
3229.5 9.158743286547487e-26
3565.7 9.259946224659886e-26
3936.8 9.413208245262835e-26
4261.3 9.56763076641095e-26
4612.6 9.756438595196892e-26
4992.8 9.980877261774355e-26
5404.4 1.024413414413196e-25
5849.9 1.0540288015432825e-25
6719.7 1.1150886329384954e-25
7273.6 1.1555860394112804e-25
8355.1 1.23926874342836e-25
9043.8 1.2938230978353002e-25
10388.0 1.4021798582764345e-25
11933.0 1.5314452775268674e-25
13707.0 1.6836236107602475e-25
15745.0 1.8638753565277276e-25
18087.0 2.0768973619430256e-25
27413.0 2.9768736506034853e-25
