# Indirection Detection Limits
# Spectrum: ./Spectrum13_all.dat
#Units: DM mass = GeV, <sigma v> = cm^3 s⁻1
mDM SigmaV
675.66 1.1150040830270773e-25
689.17 1.1145190407572232e-25
702.96 1.1126003847245914e-25
717.02 1.1099204189311156e-25
731.36 1.106559927430099e-25
745.98 1.104609148270623e-25
760.9 1.1014098574881692e-25
776.12 1.0980177472057638e-25
791.64 1.0929971763570585e-25
807.48 1.0899907378727418e-25
840.1 1.0804734506903348e-25
856.9 1.0733313108442947e-25
874.04 1.0677071129047192e-25
891.52 1.062815584691575e-25
909.35 1.057557166378171e-25
965.01 1.0382053133795979e-25
1024.1 1.0172481586161592e-25
1086.8 9.985309468573063e-26
1199.9 9.668275890094919e-26
1223.9 9.600413265148674e-26
1248.3 9.540319806044323e-26
1273.3 9.484640854489603e-26
1298.8 9.434697394202652e-26
1324.8 9.379833891252209e-26
1351.2 9.320658429187231e-26
1378.3 9.270219501051831e-26
1405.8 9.223182664298865e-26
1434.0 9.179501397006802e-26
1462.6 9.129731004333328e-26
1713.7 8.828011178700315e-26
1929.9 8.66902262994799e-26
2130.8 8.592301869485408e-26
2352.6 8.560195316130343e-26
2546.5 8.561990625066152e-26
2756.4 8.591146485364431e-26
2983.6 8.654578804736852e-26
3427.2 8.831257193619115e-26
3709.7 8.974614240892903e-26
3936.8 9.10196891686852e-26
4261.3 9.29959851922404e-26
4522.1 9.45954949377575e-26
4894.9 9.71010392350315e-26
5194.5 9.921657315866123e-26
5966.9 1.0493326899278254e-25
6332.1 1.0768223250364768e-25
7273.6 1.1519673942236253e-25
7718.8 1.187929660489951e-25
8866.5 1.2842302773199204e-25
9409.2 1.330679066102148e-25
11470.0 1.5112754905597064e-25
12172.0 1.5745007909638203e-25
13982.0 1.738925067297213e-25
14837.0 1.8176574423603846e-25
15745.0 1.9036273954853712e-25
18087.0 2.129482675665571e-25
19194.0 2.2386376790601634e-25
20368.0 2.3542686335259423e-25
23397.0 2.6632115491163336e-25
24829.0 2.812578506243027e-25
26349.0 2.9734427009887317e-25
