# Indirection Detection Limits
# Spectrum: ./Spectrum42_all.dat
#Units: DM mass = GeV, <sigma v> = cm^3 s⁻1
mDM SigmaV
1004.0 1.1157739199792819e-25
1024.1 1.1116186200329308e-25
1044.6 1.1081725129091556e-25
1065.4 1.1053228846421783e-25
1086.8 1.10053402300881e-25
1108.5 1.095023423768488e-25
1153.3 1.082853330070111e-25
1199.9 1.0720865120933415e-25
1462.6 1.0096930568508636e-25
1521.7 9.981471536216383e-26
1614.9 9.807078935880649e-26
1782.9 9.56006296199825e-26
2352.6 9.130642801150518e-26
2399.6 9.112613036981269e-26
2811.5 9.075250837234752e-26
3166.2 9.119839277265714e-26
3495.8 9.219375633985177e-26
4177.8 9.513088259203533e-26
4522.1 9.690441389010115e-26
4894.9 9.910847367991328e-26
5298.4 1.0166059596502543e-25
5735.2 1.0455300120587605e-25
6207.9 1.0779213703527203e-25
7718.8 1.1894076057521402e-25
9597.3 1.3380689541315274e-25
11024.0 1.4563156054675674e-25
12663.0 1.5952251638327674e-25
15745.0 1.8674353150809832e-25
18087.0 2.081428939002479e-25
20776.0 2.3316732743740084e-25
23865.0 2.632246027871159e-25
