# Indirection Detection Limits
# Spectrum: ./Spectrum13_all.dat
#Units: DM mass = GeV, <sigma v> = cm^3 s⁻1
mDM SigmaV
675.66 5.181232832925042e-26
689.17 5.17059470316902e-26
702.96 5.159682060711408e-26
717.02 5.14997260720205e-26
731.36 5.1324669800139096e-26
745.98 5.1177415671548956e-26
760.9 5.096908776644273e-26
776.12 5.081478736742394e-26
791.64 5.0577536010709495e-26
807.48 5.0382749113459517e-26
840.1 4.986660435108515e-26
856.9 4.954760700416096e-26
874.04 4.925437966864583e-26
891.52 4.898280499634455e-26
909.35 4.8719316646125607e-26
965.01 4.774779018103731e-26
1024.1 4.6722013461215995e-26
1086.8 4.5778538766789965e-26
1199.9 4.426601585286516e-26
1223.9 4.396773446026636e-26
1248.3 4.3680088869037457e-26
1273.3 4.3401945995681334e-26
1298.8 4.3120370545176675e-26
1324.8 4.285401072763476e-26
1351.2 4.260191164513538e-26
1378.3 4.236013526538027e-26
1405.8 4.213282353444569e-26
1434.0 4.191186664492756e-26
1462.6 4.169293138073519e-26
1713.7 4.021554204497124e-26
1929.9 3.946796655740109e-26
2130.8 3.9066361208557916e-26
2352.6 3.8890973615699024e-26
2546.5 3.8889060309801225e-26
2756.4 3.901254794489884e-26
2983.6 3.926960644990631e-26
3427.2 4.0069647273317077e-26
3709.7 4.068710254340822e-26
3936.8 4.1252668956120397e-26
4261.3 4.213522096318568e-26
4522.1 4.287021327241811e-26
4894.9 4.396585203176193e-26
5194.5 4.4913190470997903e-26
5966.9 4.747215256750108e-26
6332.1 4.8719213765323936e-26
7273.6 5.206734700780085e-26
7718.8 5.370163932858665e-26
8866.5 5.79358284040325e-26
9409.2 6.003492676079757e-26
11470.0 6.81129999449178e-26
12172.0 7.093570635486982e-26
13982.0 7.832877246607192e-26
14837.0 8.190826618546982e-26
15745.0 8.578569484789305e-26
18087.0 9.577618489572776e-26
19194.0 1.0061508526393839e-25
20368.0 1.0583504547794371e-25
23397.0 1.1959223118185017e-25
24829.0 1.2623415896521953e-25
26349.0 1.3337014742313407e-25
