# Indirection Detection Limits
# Spectrum: ./Spectrum12_all.dat
#Units: DM mass = GeV, <sigma v> = cm^3 s⁻1
mDM SigmaV
554.28 1.1870359581299951e-25
565.36 1.1944593047222281e-25
576.67 1.2032032228016235e-25
588.2 1.211935720686571e-25
599.97 1.2141714040176183e-25
611.97 1.2223914986292268e-25
662.41 1.2304406384678745e-25
731.36 1.219516647571328e-25
791.64 1.1985284976022788e-25
840.1 1.1801501168909592e-25
946.09 1.1343852670103027e-25
965.01 1.1271639751104474e-25
984.31 1.1185229188517903e-25
1004.0 1.1095233582279248e-25
1024.1 1.100718543635908e-25
1044.6 1.0928127625520661e-25
1065.4 1.0853898065370859e-25
1086.8 1.077003834949661e-25
1273.3 1.0151618682363968e-25
1434.0 9.756273277768726e-26
1583.2 9.497007369832671e-26
1713.7 9.306874377681084e-26
1855.0 9.152869153549458e-26
2007.9 9.032691509641688e-26
2173.4 8.948297703951747e-26
2496.5 8.870451692115633e-26
2867.7 8.884566680518269e-26
3294.1 8.993203416770504e-26
3495.8 9.070003154750093e-26
4261.3 9.434576531341042e-26
5512.5 1.0213573096234956e-25
5849.9 1.0452477182481815e-25
7567.4 1.1718878021053953e-25
8030.6 1.2078479808533842e-25
8522.2 1.24755194445011e-25
11699.0 1.5084954670640387e-25
12415.0 1.5699214971278113e-25
17043.0 1.9810308131862798e-25
18087.0 2.0763924836368504e-25
19194.0 2.1790473249330297e-25
