# Indirection Detection Limits
# Spectrum: ./Spectrum34_all.dat
#Units: DM mass = GeV, <sigma v> = cm^3 s⁻1
mDM SigmaV
9043.8 1.307531946584674e-25
9224.7 1.3233367137814378e-25
9409.2 1.3400416516869943e-25
9597.3 1.3571674067264254e-25
9789.3 1.3746041315409685e-25
9985.1 1.3924626641230906e-25
10185.0 1.410727357648113e-25
10388.0 1.428976930782977e-25
10596.0 1.4480987327920884e-25
10808.0 1.4666815742444758e-25
11024.0 1.486709157935527e-25
11245.0 1.5072422792597944e-25
11470.0 1.5299027250743477e-25
11933.0 1.5733599516230752e-25
12172.0 1.5958427494807386e-25
14837.0 1.8502067649473083e-25
16709.0 2.0343792451925807e-25
17384.0 2.1042570803711984e-25
18087.0 2.175356576416187e-25
18817.0 2.2483410613432117e-25
23865.0 2.7836692067017387e-25
26349.0 3.061810518749887e-25
29673.0 3.440478935578658e-25
