# Indirection Detection Limits
# Spectrum: ./Spectrum24_all.dat
#Units: DM mass = GeV, <sigma v> = cm^3 s⁻1
mDM SigmaV
21615.0 3.801323017725954e-26
22047.0 3.8525181088837553e-26
22488.0 3.904744030633695e-26
22938.0 3.956864968801659e-26
23397.0 4.0110040530247677e-26
23865.0 4.0661683157631614e-26
24342.0 4.1223429671864663e-26
24829.0 4.1796727930809925e-26
25326.0 4.235139832561873e-26
25832.0 4.2944299255269204e-26
26349.0 4.3537214539892654e-26
26876.0 4.412210340331364e-26
27413.0 4.47388692441788e-26
27962.0 4.537846107787844e-26
29091.0 4.664435042732161e-26
