# Indirection Detection Limits
# Spectrum: ./Spectrum13_all.dat
#Units: DM mass = GeV, <sigma v> = cm^3 s⁻1
mDM SigmaV
675.66 7.666518641730907e-27
689.17 7.709773016015356e-27
702.96 7.755897008720273e-27
717.02 7.804586919974334e-27
731.36 7.850555201514425e-27
745.98 7.898037527730882e-27
760.9 7.945105075197692e-27
776.12 7.995299411561093e-27
791.64 8.041519757069025e-27
807.48 8.090492274121399e-27
840.1 8.18751394871282e-27
856.9 8.234543050514117e-27
874.04 8.282458317829108e-27
891.52 8.330398066623379e-27
909.35 8.379976556977095e-27
965.01 8.530251047196233e-27
1024.1 8.681325080428224e-27
1086.8 8.84360976723005e-27
1199.9 9.129789067259477e-27
1223.9 9.188627099688213e-27
1248.3 9.249219682617352e-27
1273.3 9.311622413117913e-27
1298.8 9.374794562140454e-27
1324.8 9.438611499794553e-27
1351.2 9.503006500376044e-27
1378.3 9.568761599035863e-27
1405.8 9.635643865661196e-27
1434.0 9.704587741338556e-27
1462.6 9.774928888544316e-27
1713.7 1.0371838459751657e-26
1929.9 1.0871996537284864e-26
2130.8 1.1324430945095035e-26
2352.6 1.1810222229766385e-26
2546.5 1.2225989600724871e-26
2756.4 1.2663713842814155e-26
2983.6 1.3124291730634347e-26
3427.2 1.3988973926614437e-26
3709.7 1.4518272939940916e-26
3936.8 1.493224274973745e-26
4261.3 1.5506863678245808e-26
4522.1 1.5955996090116602e-26
4894.9 1.6575160681336022e-26
5194.5 1.706346733591542e-26
5966.9 1.8262656003985938e-26
6332.1 1.881062909229362e-26
7273.6 2.016393473934795e-26
7718.8 2.0788636725524692e-26
8866.5 2.2335330639680225e-26
9409.2 2.3046726559729235e-26
11470.0 2.5654238765667514e-26
12172.0 2.6526578929568823e-26
13982.0 2.8693222834699034e-26
14837.0 2.9710748272923014e-26
15745.0 3.079078984949956e-26
18087.0 3.352924608864186e-26
19194.0 3.479261427644563e-26
20368.0 3.6148816729639145e-26
23397.0 3.954669910876608e-26
24829.0 4.116354424344592e-26
26349.0 4.2850934617491e-26
