# Indirection Detection Limits
# Spectrum: ./Spectrum23_all.dat
#Units: DM mass = GeV, <sigma v> = cm^3 s⁻1
mDM SigmaV
675.66 5.182854916575831e-26
689.17 5.171962306610386e-26
702.96 5.162649030354635e-26
717.02 5.149791086109645e-26
731.36 5.139156316547243e-26
745.98 5.122876957114838e-26
760.9 5.101023433621469e-26
776.12 5.084240402762651e-26
823.63 5.020561155450861e-26
856.9 4.9687989614859535e-26
874.04 4.939132776104801e-26
891.52 4.9116149454667484e-26
909.35 4.8848991024357645e-26
946.09 4.8125432517926635e-26
965.01 4.786688095786058e-26
1004.0 4.722836519444826e-26
1065.4 4.6238656431324664e-26
1153.3 4.498708567723455e-26
1176.3 4.466716252343102e-26
1199.9 4.4354975786694504e-26
1521.7 4.1350623071467586e-26
1552.2 4.116029376140728e-26
1583.2 4.097679497885043e-26
1782.9 3.9997470427583367e-26
1818.6 3.98723035645029e-26
2007.9 3.935113071795668e-26
2216.9 3.902479378175266e-26
2399.6 3.8924116859542024e-26
2649.4 3.8990107595313063e-26
2867.7 3.91645122139335e-26
3104.1 3.94971209803974e-26
3565.7 4.0400990710219694e-26
3859.6 4.1090077547209544e-26
4095.8 4.170364818356312e-26
4433.5 4.264666047248119e-26
4704.8 4.3429220546366127e-26
5092.7 4.4604111944265406e-26
5404.4 4.561040056044366e-26
6207.9 4.8305510661607326e-26
7131.0 5.1553726558004115e-26
7567.4 5.314585932559652e-26
8692.6 5.727874560267586e-26
9224.7 5.931746255107269e-26
10596.0 6.466059896536735e-26
11245.0 6.721324688919788e-26
11933.0 6.996336617039962e-26
13707.0 7.71708629666784e-26
14546.0 8.067828723669705e-26
16709.0 8.984839547356397e-26
17732.0 9.421292655397599e-26
18817.0 9.893218443874043e-26
21615.0 1.1139644320552306e-25
22938.0 1.1743070807126284e-25
24342.0 1.2391686244551755e-25
27962.0 1.4096509025720552e-25
29673.0 1.4925135135359843e-25
