# Indirection Detection Limits
# Spectrum: ./Spectrum31_all.dat
#Units: DM mass = GeV, <sigma v> = cm^3 s⁻1
mDM SigmaV
624.21 1.1846066496367103e-25
636.69 1.196395796525474e-25
649.42 1.2031719430020844e-25
662.41 1.2101726345021168e-25
675.66 1.2175735773682975e-25
689.17 1.2213218646437076e-25
702.96 1.2256658755663744e-25
717.02 1.2244859865325578e-25
731.36 1.2257611344278126e-25
760.9 1.2257762951238204e-25
776.12 1.221921968263134e-25
791.64 1.2185333313864423e-25
807.48 1.2166984523638473e-25
856.9 1.2015156639126255e-25
891.52 1.1901277618897776e-25
946.09 1.1680873798435827e-25
1065.4 1.1197176144517102e-25
1086.8 1.110902789259981e-25
1108.5 1.1018623813883327e-25
1130.7 1.0929567199174697e-25
1153.3 1.0850692425011496e-25
1176.3 1.0774432648494522e-25
1199.9 1.068997681756122e-25
1223.9 1.0611145657704622e-25
1248.3 1.053285118023968e-25
1273.3 1.0459434963665911e-25
1491.9 9.904550630381672e-26
1680.1 9.569962794422651e-26
2007.9 9.200264464430233e-26
2173.4 9.1013599814683e-26
2352.6 9.029024323140701e-26
2546.5 8.988591896500325e-26
2925.1 8.995926696929141e-26
3360.0 9.100118284504722e-26
3859.6 9.297424811446195e-26
4095.8 9.410389066897332e-26
4704.8 9.749321945663396e-26
4992.8 9.925601884788356e-26
6086.2 1.0652146619456312e-25
6458.7 1.0909685130322423e-25
7873.2 1.1973082260034928e-25
8355.1 1.2350644691836028e-25
10808.0 1.4333437753780704e-25
11470.0 1.4888827310499902e-25
14837.0 1.779907959414657e-25
15745.0 1.8603813936763465e-25
20368.0 2.2835158079954223e-25
21615.0 2.4007982785568764e-25
22938.0 2.530670698847932e-25
