# Indirection Detection Limits
# Spectrum: ./Spectrum33_all.dat
#Units: DM mass = GeV, <sigma v> = cm^3 s⁻1
mDM SigmaV
760.9 7.9755025299306e-27
776.12 8.026508120557446e-27
791.64 8.077582134517127e-27
807.48 8.128613588518339e-27
823.63 8.178711882208074e-27
840.1 8.231885205746632e-27
856.9 8.283546997327357e-27
874.04 8.332200046456181e-27
891.52 8.381147316161967e-27
909.35 8.43190301375533e-27
927.54 8.484692454249894e-27
946.09 8.534619084945706e-27
1044.6 8.797992141103048e-27
1065.4 8.853830858088393e-27
1108.5 8.965982567669107e-27
1153.3 9.080916560477074e-27
1223.9 9.2566877850184e-27
1324.8 9.50935837259087e-27
1351.2 9.57287033559205e-27
1378.3 9.6382355333812e-27
1748.0 1.0521739316133317e-26
1782.9 1.0603817861040754e-26
1818.6 1.0686570056919856e-26
2089.0 1.130215991837604e-26
2306.4 1.178416701938691e-26
2352.6 1.1884497254895983e-26
2546.5 1.229791109917445e-26
2597.4 1.2405662058072976e-26
2811.5 1.2848536549538302e-26
3043.3 1.331723860597631e-26
3104.1 1.3438474889319312e-26
3360.0 1.3936895229075122e-26
3637.0 1.445792308444911e-26
3936.8 1.5004410707018305e-26
4522.1 1.6028257221882492e-26
4894.9 1.665006388645291e-26
5622.7 1.780809772276473e-26
6086.2 1.8520102900117665e-26
6458.7 1.906693463487002e-26
6991.1 1.9836236964044454e-26
7419.1 2.0440986745304418e-26
8030.6 2.1278428737807466e-26
8522.2 2.1943187862067028e-26
9224.7 2.2871193300272755e-26
9789.3 2.359675979972122e-26
10596.0 2.4614192467264132e-26
11245.0 2.5428982309586738e-26
12172.0 2.6570406883780986e-26
12917.0 2.748665813506225e-26
14837.0 2.974904044247134e-26
15745.0 3.081601124611898e-26
17043.0 3.2340505097205957e-26
18087.0 3.355883203914187e-26
20776.0 3.6617367436110575e-26
22047.0 3.8059912871895453e-26
25326.0 4.170583314306725e-26
26876.0 4.3437085796655727e-26
